,id_carrera,nombre_carrera,descripcion_carrera,estado_carrera,fecha_inicio_vigencia_carrera,modalidad,jornada
0,17c7274e-6944-11ed-b07a-0242ac1c0002,Ingeniería en Recepcionista de hoteles,Ipsum porro iusto. Illum neque similique praesentium quia laborum.,Inactivo,1967-09-25,En linea,Intensiva
1,17c73f86-6944-11ed-b07a-0242ac1c0002,"Ingeniería en Empleado de servicios estadísticos, financieros y de seguros",Aut laudantium assumenda sunt accusantium magni. Maiores accusamus iste officia facilis amet.,Inactivo,1941-10-26,En linea,Vespertina
2,17c7409e-6944-11ed-b07a-0242ac1c0002,Tecnología en Agente de servicios de seguridad social,Dolorum vel aliquam quo consequuntur delectus dolorum. Rem ipsam nesciunt.,Inactivo,1965-06-18,Presencial,Vespertina
3,17c7415c-6944-11ed-b07a-0242ac1c0002,Licenciatura en Trabajador comunitario de la salud,Laudantium fuga quis totam. Tenetur eveniet pariatur quasi repellendus saepe ducimus. Illo voluptatum neque alias eum voluptatibus explicabo aut.,Activo,1975-02-16,Presencial,Intensiva
4,17c74210-6944-11ed-b07a-0242ac1c0002,Tecnología en Avicultor,Ratione et aut unde voluptate deserunt dolor. Error sit nesciunt culpa.,Inactivo,1971-05-31,Presencial,Matutina
5,17c742c4-6944-11ed-b07a-0242ac1c0002,Tecnología en Operador de máquinas de coser,Eaque eaque est architecto. Non asperiores eos aliquam eius nam praesentium.,Inactivo,1972-11-25,Distancia,Matutina
6,17c7436e-6944-11ed-b07a-0242ac1c0002,Ingeniería en Jefe de pequeñas poblaciones,Repellat voluptate iure laudantium fugit. Nam minima dolore debitis. Architecto itaque minima reiciendis maxime dolore saepe.,Activo,1953-08-25,Presencial,En linea
7,17c7440e-6944-11ed-b07a-0242ac1c0002,Tecnología en Dinamitero,Eos consequuntur aliquam itaque. Quibusdam occaecati deserunt doloribus impedit quam. Eos veniam quod adipisci blanditiis tempora fugit laboriosam.,Activo,1949-04-02,Distancia,Intensiva
8,17c744c2-6944-11ed-b07a-0242ac1c0002,Ingeniería en Audiólogo,Dignissimos velit ipsum similique assumenda architecto. Ducimus sint molestiae saepe.,Activo,1972-02-18,En linea,En linea
9,17c74576-6944-11ed-b07a-0242ac1c0002,Ingeniería en Reparador de bicicletas,Impedit fugit sed perferendis. Veniam fugiat reprehenderit id totam consectetur quia.,Inactivo,1973-07-03,Distancia,Matutina
10,17c74634-6944-11ed-b07a-0242ac1c0002,Ingeniería en Mensajero,Accusantium voluptatem sunt facere possimus excepturi. Incidunt labore dolorem quas. Architecto voluptates error dolore. Esse corrupti minus veniam distinctio.,Activo,1952-12-22,Presencial,En linea
11,17c746fc-6944-11ed-b07a-0242ac1c0002,"Tecnología en Limpiador y asistente de oficinas, hoteles y otros establecimientos",Quia quos vero distinctio. At dolores quia laudantium voluptate officiis. Harum fugit possimus ad placeat id.,Activo,1970-11-06,Presencial,En linea
12,17c747a6-6944-11ed-b07a-0242ac1c0002,"Licenciatura en Operador de máquinas pulidoras, galvanizadoras y recubridoras de metales ",Animi ullam explicabo voluptatum neque ab repudiandae. Reprehenderit temporibus natus eum maxime maiores.,Activo,1976-09-25,Presencial,Vespertina
13,17c74846-6944-11ed-b07a-0242ac1c0002,Ingeniería en Perforador y sondista de pozos,Nemo neque ipsa quidem blanditiis inventore distinctio. Praesentium nesciunt atque quia nisi. Beatae modi voluptatum ratione. Pariatur deserunt voluptates deleniti repudiandae sapiente.,Inactivo,1941-02-05,En linea,Intensiva
14,17c748f0-6944-11ed-b07a-0242ac1c0002,Tecnología en Director de servicios de cuidados infantiles,Eaque quo odit consectetur vitae. Natus hic aut corrupti placeat. Aliquam vitae accusantium quas accusantium.,Activo,1950-08-13,En linea,En linea
15,17c74990-6944-11ed-b07a-0242ac1c0002,Tecnología en Clasificador de productos,Mollitia mollitia nesciunt odio doloribus similique veniam. Consequatur ab voluptas modi et asperiores odit odio.,Inactivo,1960-07-06,En linea,Vespertina
16,17c74a3a-6944-11ed-b07a-0242ac1c0002,Licenciatura en Revisor y cobrador de los transportes públicos,Sunt autem ex quae vel. Ab ut quod odit et quibusdam id eligendi. Laboriosam fugit ad sit.,Activo,1950-05-02,Distancia,En linea
17,17c74ae4-6944-11ed-b07a-0242ac1c0002,Tecnología en Supervisor en ingeniería de minas,Error rem voluptatum facere. Maxime laborum quaerat quos quaerat porro. Sunt harum vitae sunt fugit sapiente repellendus.,Inactivo,1959-07-12,En linea,Intensiva
18,17c74b84-6944-11ed-b07a-0242ac1c0002,Licenciatura en Soplador de vidrio,Assumenda repellat ullam architecto deleniti. Praesentium corrupti cum et ab temporibus exercitationem quo. Voluptatem ipsam nemo voluptatibus.,Activo,1973-07-09,Distancia,Intensiva
19,17c74c24-6944-11ed-b07a-0242ac1c0002,Ingeniería en Especialista en políticas de administración,Occaecati et incidunt suscipit quo cupiditate porro. Possimus quis exercitationem magni. Reiciendis recusandae labore pariatur.,Activo,1941-10-23,En linea,Matutina
