,id_cupo,fecha_aceptacion_cupo,hora_aceptacion_cupo,descripcion_cupo,tipo_cupo,estado_cupo
0,dc2010b6-6943-11ed-8143-0242ac1c0002,2021-09-23,02:33:57,Iure provident aliquam necessitatibus.,NIVELACION,Inactivo
1,dc20148a-6943-11ed-8143-0242ac1c0002,2022-01-25,05:59:17,Illo ut nobis sint aspernatur ea. Accusamus et occaecati maiores.,NIVELACION,Inactivo
2,dc2015ca-6943-11ed-8143-0242ac1c0002,2022-03-16,21:11:27,Est iusto cum dolores. Adipisci iste amet nemo nihil temporibus. Doloremque magnam quos.,PRIMER NIVEL,Inactivo
3,dc201692-6943-11ed-8143-0242ac1c0002,2022-07-02,07:52:36,Repellat at ratione repellat. Quaerat nulla necessitatibus veniam non ipsum nam. Harum facere quis explicabo itaque maiores iusto.,PRIMER NIVEL,Activo
4,dc201746-6943-11ed-8143-0242ac1c0002,2021-05-18,08:26:37,Modi nihil quas quia dolorum. Asperiores magni veniam possimus illo dolor.,NIVELACION,Inactivo
5,dc2017fa-6943-11ed-8143-0242ac1c0002,2022-09-22,14:38:28,Eum exercitationem consequuntur nihil. Dolore blanditiis sequi ea.,NIVELACION,Activo
6,dc2018a4-6943-11ed-8143-0242ac1c0002,2021-05-25,06:04:50,Aliquid dolorum consectetur at omnis. Neque facilis hic occaecati ab.,PRIMER NIVEL,Activo
7,dc201994-6943-11ed-8143-0242ac1c0002,2022-12-22,15:22:55,Iusto dolore dolorem doloribus. A atque ab enim. Occaecati expedita veniam rem.,PRIMER NIVEL,Activo
8,dc201a3e-6943-11ed-8143-0242ac1c0002,2022-04-07,02:48:43,Expedita quaerat ab reiciendis quod reiciendis ea. Illum assumenda hic aliquam omnis optio esse. Culpa sed sequi blanditiis et voluptatem.,NIVELACION,Activo
9,dc201af2-6943-11ed-8143-0242ac1c0002,2021-01-10,19:23:52,Cum doloremque nostrum maxime odio optio. Possimus officiis animi praesentium atque. Sed commodi expedita repellat aperiam eveniet exercitationem. Fugit pariatur nostrum minus nisi iusto at.,PRIMER NIVEL,Inactivo
10,dc201bb0-6943-11ed-8143-0242ac1c0002,2022-08-15,12:59:32,Accusantium quo dignissimos itaque optio. Iure enim aut quibusdam iusto. Sint dolor distinctio fuga minima placeat totam.,PRIMER NIVEL,Activo
11,dc201c64-6943-11ed-8143-0242ac1c0002,2021-10-10,14:58:39,Alias laudantium ex voluptate illum. Deserunt temporibus asperiores impedit. Quam minima minima.,NIVELACION,Activo
12,dc201d0e-6943-11ed-8143-0242ac1c0002,2021-08-14,14:03:49,Cupiditate adipisci quidem laborum. Eveniet possimus voluptatibus quia velit. Natus quidem doloribus nobis itaque.,PRIMER NIVEL,Inactivo
13,dc201dae-6943-11ed-8143-0242ac1c0002,2021-04-06,10:02:21,Aliquam omnis rerum assumenda cumque repellendus. Itaque hic mollitia. Eos aliquid aliquid non.,PRIMER NIVEL,Inactivo
14,dc201e6c-6943-11ed-8143-0242ac1c0002,2021-12-03,01:21:21,Quas eligendi eius numquam. Atque vel officia tempora adipisci.,NIVELACION,Inactivo
15,dc201f20-6943-11ed-8143-0242ac1c0002,2022-10-28,05:24:19,Unde debitis dignissimos eius. Cumque nostrum sit qui fugiat. Sunt at at optio.,PRIMER NIVEL,Activo
16,dc201fde-6943-11ed-8143-0242ac1c0002,2021-12-26,23:17:35,Ipsum sint impedit nihil voluptatum ad. Omnis ea fugit rem doloremque.,NIVELACION,Inactivo
17,dc2020ba-6943-11ed-8143-0242ac1c0002,2021-12-23,23:39:08,Voluptatum praesentium voluptas velit vero magni. Minima reprehenderit vero est corporis fugiat cumque.,NIVELACION,Activo
18,dc20216e-6943-11ed-8143-0242ac1c0002,2021-02-19,23:22:57,Dolor molestiae odio minima totam similique. Ipsam facere repellat.,NIVELACION,Inactivo
19,dc202222-6943-11ed-8143-0242ac1c0002,2021-07-28,01:02:27,Adipisci voluptatibus iure repellat. Alias labore dignissimos cum quos vel.,NIVELACION,Inactivo
20,dc2022cc-6943-11ed-8143-0242ac1c0002,2021-01-27,21:01:08,Dolores laborum ut deleniti. Voluptate cupiditate quos quae. Eum at nesciunt.,PRIMER NIVEL,Inactivo
21,dc202376-6943-11ed-8143-0242ac1c0002,2022-11-06,17:37:59,Quisquam consectetur pariatur nemo mollitia. Voluptatem explicabo quia in iure.,PRIMER NIVEL,Inactivo
22,dc202420-6943-11ed-8143-0242ac1c0002,2021-10-19,17:35:44,Placeat mollitia pariatur minus minus beatae. Ab libero assumenda ullam. Atque reiciendis natus totam repellendus dicta voluptatum.,PRIMER NIVEL,Inactivo
23,dc2024ca-6943-11ed-8143-0242ac1c0002,2022-07-22,09:52:43,Voluptate maxime odio. Nesciunt ipsam quo.,NIVELACION,Inactivo
24,dc20256a-6943-11ed-8143-0242ac1c0002,2022-12-31,04:32:32,Tenetur expedita quis esse. Hic ut amet quos porro.,PRIMER NIVEL,Inactivo
25,dc202628-6943-11ed-8143-0242ac1c0002,2022-12-15,19:20:39,Vero laboriosam possimus earum pariatur deleniti. Consectetur harum ad aspernatur. Culpa tempora magni consequatur voluptatum.,PRIMER NIVEL,Activo
26,dc2026dc-6943-11ed-8143-0242ac1c0002,2022-07-30,23:31:40,Ducimus porro eaque consequuntur iusto dolor aut. Cum ea nesciunt ab. Debitis corporis atque quos laboriosam delectus amet.,NIVELACION,Inactivo
