,IdInsti,NomInstituto,CorreoInstituto,TelefonoInstituto,DescripcionInstituto,EstadoInstituto,URL
0,f9b7d3f2-6943-11ed-a9ab-0242ac1c0002,Instituto Pío Torrecilla,pío.torrecilla@hotmail.com,0963395876,Vitae totam iste corporis. Tempora dolores fugit. Facere beatae aperiam iste.,Activo,universidadpíotorrecilla.com
1,f9b7d5aa-6943-11ed-a9ab-0242ac1c0002,Instituto Ruben Río,ruben.río@hotmail.com,0938935298,Molestiae atque illo repellendus nam tempora error. Quae inventore commodi totam rem occaecati. Enim corrupti totam ipsam error tempore animi. Reprehenderit expedita laudantium similique velit corporis.,Inactivo,universidadrubenrío.com
2,f9b7d672-6943-11ed-a9ab-0242ac1c0002,Instituto Quique Sanchez,quique.sanchez@hotmail.com,0984163752,Ad non sed voluptatem eveniet non animi. Quo ab quibusdam distinctio voluptas quae a.,Inactivo,universidadquiquesanchez.com
3,f9b7d73a-6943-11ed-a9ab-0242ac1c0002,Instituto Dionisio Gimenez,dionisio.gimenez@hotmail.com,0921794818,In fuga vero nobis perspiciatis excepturi sunt. Aut totam recusandae magnam omnis consequuntur. Assumenda dolorem quam error alias officia.,Activo,universidaddionisiogimenez.com
4,f9b7d898-6943-11ed-a9ab-0242ac1c0002,Instituto Heliodoro Gomez,heliodoro.gomez@hotmail.com,0986436046,Qui officia voluptate ipsum unde. Dolorum natus adipisci quas.,Inactivo,universidadheliodorogomez.com
5,f9b7d96a-6943-11ed-a9ab-0242ac1c0002,Instituto Juanito Zamora,juanito.zamora@hotmail.com,0968936548,Corporis quis aliquam impedit. Culpa cum perferendis dolores at possimus cupiditate. Eaque possimus illum corrupti maxime occaecati.,Activo,universidadjuanitozamora.com
6,f9b7da14-6943-11ed-a9ab-0242ac1c0002,Instituto León Oliva,león.oliva@hotmail.com,0909239331,Modi nobis reprehenderit animi dicta. Vel soluta officia placeat. Rerum doloremque quasi iusto praesentium fugiat veniam dignissimos.,Inactivo,universidadleónoliva.com
7,f9b7daaa-6943-11ed-a9ab-0242ac1c0002,Instituto Gastón Amo,gastón.amo@hotmail.com,0995850109,Alias atque est accusamus hic eaque. Odit vel laborum aliquam quisquam cupiditate. Fugiat adipisci ipsa delectus quia.,Activo,universidadgastónamo.com
8,f9b7db68-6943-11ed-a9ab-0242ac1c0002,Instituto Asdrubal Maestre,asdrubal.maestre@hotmail.com,0954583214,Deleniti dignissimos corporis ipsam commodi. Alias ab sit quasi est. Et odit beatae ea.,Activo,universidadasdrubalmaestre.com
9,f9b7dbfe-6943-11ed-a9ab-0242ac1c0002,Instituto Marcial Piquer,marcial.piquer@hotmail.com,0942076194,Ea labore ullam quos aliquid hic. Maxime doloremque distinctio eius soluta vero.,Activo,universidadmarcialpiquer.com
